location_1,location_2,business_closed,business_closed_date,business_closed_url,business_open,business_open_date,business_open_url,school_closed,school_closed_date,school_closed_url,school_open,school_open_date,school_open_url,college_closed,college_closed_date,college_closed_url,college_open,college_open_date,college_open_url,religion_closed,religion_closed_date,religion_closed_url,religion_open,religion_open_date,religion_open_url,lockdown_closed,lockdown_closed_date,lockdown_closed_url,lockdown_open,lockdown_open_date,lockdown_open_url,fips,fips.1,fips.1.1,fips
California,Marin County,Yes,2020-03-31,https://coronavirus.marinhhs.org,No,,,Yes,2020-03-16,https://www.marincounty.org/main/county-press-releases/press-releases/2020/hhs-schoolsuspension-031320,No,,,Yes,2020-03-16,https://www.marincounty.org/main/county-press-releases/press-releases/2020/hhs-schoolsuspension-031320,No,,,Yes,2020-03-31,https://coronavirus.marinhhs.org,No,,,Yes,2020-03-31,https://coronavirus.marinhhs.org,No,,,06041,06041,06041,06041
California,Napa County,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,Yes,2020-03-16,https://napavalleyregister.com/news/local/napa-school-district-cancels-classes-for-three-weeks-amid-coronavirus/article_b54ad381-66f9-59ec-87df-e8ccdbcf80fc.html#tracking-source=home-top-story-1,No,,,Yes,2020-03-16,https://napavalleyregister.com/news/local/napa-valley-college-to-suspend-classes-briefly-move-online-next/article_370373fc-226c-50f3-b31a-8ec6ee11d07f.html,No,,,Yes,2020-03-18,http://www.olphcalistoga.org/,No,,,Yes,2020-03-19,https://www.kqed.org/science/1959566/california-gov-gavin-newsom-orders-state-to-shelter-in-place,No,,,06055,06055,06055,06055
California,Orange County,Yes,2020-03-17,https://www.ocregister.com/2020/03/17/orange-county-expected-to-ban-all-gatherings-close-bars-and-limit-restaurants-to-take-out/,No,,,Yes,2020-03-16,https://www.ovsd.org/cms/lib/CA02208954/Centricity/Domain/56/Coronavirus%20Communication%2003-13.pdf,No,,,Yes,2020-03-16,https://www.wftv.com/news/local/orange-county/coronavirus-how-long-are-central-florida-schools-closed/ZL5FHRJ7ONFIXM7OQ3PXLLTSUE/,No,,,Yes,2020-03-17,https://www.ocregister.com/2020/03/17/orange-county-expected-to-ban-all-gatherings-close-bars-and-limit-restaurants-to-take-out/,No,,,Yes,2020-03-17,https://www.ocregister.com/2020/03/17/orange-county-expected-to-ban-all-gatherings-close-bars-and-limit-restaurants-to-take-out/,No,,,06059,06059,06059,06059
California,Riverside County,Yes,2020-03-19,https://www.gov.ca.gov/2020/03/19/governor-gavin-newsom-issues-stay-at-home-order/,No,,,Yes,2020-03-14,https://www.rivcoph.org/Portals/0/Documents/CoronaVirus/31320Schoolclosurenewsrelease.pdf,No,,,Yes,2020-03-14,https://www.rivcoph.org/Portals/0/Documents/CoronaVirus/31320Schoolclosurenewsrelease.pdf,No,,,Yes,2020-03-16,https://www.rivcoph.org/Portals/0/Documents/CoronaVirus/SharpMFD_20200316.pdf,No,,,Yes,2020-03-19,https://www.rivcoph.org/Portals/0/Documents/CoronaVirus/3.20.20_Statement_of_support_gov_order.pdf,No,,,06065,06065,06065,06065
California,Sacramento County,Yes,2020-03-19,https://www.saccounty.net/COVID-19/Documents/20200319_HO_Signed_Stay_at_Home_Order.pdf,No,,,Yes,2020-03-07,http://www.egusd.net/wp-content/uploads/2020/03/03-07-2020-Community-Letter.pdf,No,,,Yes,2020-03-14,https://www.csus.edu/news/articles/2020/3/12/University-shifting-to-online-courses-in-COVID-19-response.shtml,No,,,Yes,2020-03-19,https://www.saccounty.net/news/latest-news/Pages/SacCountyHealthOfficerIssuesCOVID-19Order.aspx,No,,,Yes,2020-03-19,https://www.saccounty.net/news/latest-news/Pages/SacCountyHealthOfficerIssuesCOVID-19Order.aspx,No,,,06067,06067,06067,06067
California,San Bernardino County,Yes,2020-03-17,https://ktla.com/news/local-news/san-bernardino-county-closes-bars-theaters-and-gyms-bans-dining-out-as-3rd-virus-case-confirmed/,No,,,Yes,2020-03-13,https://www.sbcusd.com/emergency_notification_center/emergency_notification,No,,,Yes,2020-03-13,https://www.sbsun.com/2020/03/13/crafton-hills-san-bernardino-valley-colleges-to-move-classes-online-due-to-coronavirus-concerns/,No,,,Yes,2020-03-17,https://kesq.com/news/coronavirus/2020/03/17/diocese-suspends-all-church-services-weddings-in-riverside-san-bernardino-counties/,No,,,Yes,2020-03-19,https://www.kqed.org/science/1959566/california-gov-gavin-newsom-orders-state-to-shelter-in-place,No,,,06071,06071,06071,06071
California,San Diego County,Yes,2020-04-29,https://www.sandiegocounty.gov/content/dam/sdc/hhsa/programs/phs/Epidemiology/HealthOfficerOrderCOVID19.pdf,No,,,Yes,2020-03-16,https://www.sdcountyemergency.com/content/oesemergency/en-us/updates/covid-19-related-school-closures-and-guidelines-for-parents.html,No,,,Yes,2020-03-20,http://adminrecords.ucsd.edu/Notices/2020/2020-3-20-4.html,No,,,Yes,2020-03-12,https://www.kpbs.org/news/2020/mar/13/san-diego-religious-communities-deal-covid-19/,No,,,Yes,2020-03-29,https://www.sandiegocounty.gov/content/dam/sdc/hhsa/programs/phs/Epidemiology/HealthOfficerOrderCOVID19.pdf,No,,,06073,06073,06073,06073
California,San Francisco County,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,Yes,2020-03-13,https://www.sfchronicle.com/education/article/San-Francisco-school-district-closes-elementary-15126069.php,No,,,Yes,2020-03-10,https://www.sfexaminer.com/news/archbishop-riordan-to-stay-closed-for-two-weeks-after-student-tests-positive-for-coronavirus/,No,,,Yes,2020-03-15,https://www.sfchronicle.com/bayarea/article/Bay-Area-places-of-worship-weigh-coronavirus-15130856.php,No,,,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,06075,06075,06075,06075
California,San Mateo County,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,Yes,2020-03-16,https://www.smdailyjournal.com/coronavirus/schools-prepare-to-close/article_a579101a-64e3-11ea-a3f5-9ff474e1a49e.html,No,,,Yes,2020-03-11,https://www.smdailyjournal.com/coronavirus/schools-prepare-to-close/article_a579101a-64e3-11ea-a3f5-9ff474e1a49e.html,No,,,Yes,2020-03-13,https://patch.com/california/redwoodcity-woodside/coronavirus-san-mateo-county-bans-mass-gatherings,No,,,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,06081,06081,06081,06081
California,Santa Barbara County,Yes,2020-03-20,https://keyt.com/health/coronavirus/2020/03/19/santa-barbara-county-prohibits-large-gatherings-orders-residents-75-and-older-to-shelter-in-home/,No,,,Yes,2020-03-16,https://www.independent.com/2020/03/13/santa-barbara-county-k-12-schools-closing-amid-coronavirus-pandemic/,No,,,Yes,2020-03-11,https://chancellor.ucsb.edu/memos/2020-03-10-covid-19-response-update-and-winterspring-quarter-guidance,No,,,Yes,2020-03-14,https://www.noozhawk.com/article/worship_services_in_santa_barbara_abruptly_enter_the_virtual_world_20200314,No,,,Yes,2020-03-19,https://www.kqed.org/science/1959566/california-gov-gavin-newsom-orders-state-to-shelter-in-place,No,,,06083,06083,06083,06083
